date,open,high,low,close,volume,log_return,log_volume_chg,log_trading_range,vol_10,vol_30,garch_vol_10
2010-08-11,18.69,18.88,17.85,17.9,797650.0,-0.061215968461349135,-0.47394963530595824,0.21588838043303757,0.08234060133302684,0.3261546991283941,
2010-08-12,17.8,17.9,17.39,17.6,691281.0,-0.016901810802602668,-0.1431235066230805,-0.7029033555053116,0.08231885329802177,0.3261476935492448,
2010-08-13,18.18,18.45,17.66,18.32,634513.0,0.04009445720187799,-0.08568862260569254,0.43762221974269855,0.09061706069532172,0.32118634572280524,
2010-08-16,18.45,18.8,18.26,18.78,486211.0,0.024799114534132638,-0.2662150894577504,-0.38046380590274764,0.0838225622030977,0.2936846772301161,
2010-08-17,18.96,19.4,18.78,19.15,447881.0,0.019510241846537824,-0.0821151139300671,0.13815033848081465,0.07461088851626274,0.23190401879089642,
2010-08-18,19.59,19.59,18.6,18.77,601332.0,-0.020042865028237156,0.2946196225266835,0.46798546508950095,0.0734556832316396,0.231973661477742,
2010-08-19,18.54,19.25,18.33,18.79,579082.0,0.0010649628269563394,-0.037703103622989786,-0.07333127308554618,0.07086597257232428,0.21053629041361305,
2010-08-20,18.65,19.11,18.51,19.1,297499.0,0.016363521627210442,-0.6660332273986125,-0.42744401482694505,0.06713997785909419,0.21089444588637796,
2010-08-23,19.09,20.39,19.0,20.13,1088029.0,0.052522904599115794,1.296712217836932,0.8401293709085951,0.07769372654167118,0.21506242028498423,
2010-08-24,19.25,19.71,18.95,19.2,673074.0,-0.04730096061796418,-0.48026780244888023,-0.6037405928443591,0.08264724005351852,0.2131512644245786,
2010-08-25,19.16,19.98,18.56,19.9,503289.0,0.035809452696710764,-0.2906907212321119,0.6250937173149288,0.06958594677301103,0.19639116033320114,
2010-08-26,19.89,20.27,19.6,19.75,433736.0,-0.007566240383316103,-0.14872850370833213,-0.7511344382102987,0.0678276647289659,0.19652162766348957,
2010-08-27,19.75,19.87,19.5,19.7,378145.0,-0.002534855603188113,-0.13715833413477796,-0.5937747067467362,0.0644672386055687,0.192709443479801,
2010-08-30,19.7,20.19,19.61,19.87,732731.0,0.008592420819782731,0.661500929589673,0.4495250979021954,0.0630203484789979,0.1824016543900217,
2010-08-31,19.66,19.79,19.33,19.48,201012.0,-0.019822758349336222,-1.2934140417684503,-0.2318016140573257,0.06433515509988144,0.16709769756243703,
2010-09-01,19.62,20.69,19.6,20.45,494885.0,0.04859458427442176,0.900960804575595,0.8627064857400467,0.06953930544406874,0.1743633758856747,
2010-09-02,20.37,21.24,20.31,21.06,487060.0,0.029392624217018604,-0.01593809356603515,-0.15874838907588795,0.07071526226656068,0.17268003265289553,
2010-09-03,20.87,21.3,20.66,21.05,425956.0,-0.00047494657743918367,-0.13405126422912161,-0.3737164097935829,0.07106085849832759,0.17210429150685927,
2010-09-07,20.61,21.0,20.5,20.54,243335.0,-0.024526355627978003,-0.5598969597840497,-0.24686007793152664,0.06598238766295017,0.1731040858301944,
2010-09-08,20.66,20.95,20.6,20.9,288382.0,0.017374954470352755,0.1698468953822232,-0.35667494393873855,0.05386204082233105,0.1729060843494829,
2010-09-09,21.0,21.05,20.69,20.71,376197.0,-0.009132483563272231,0.2658269522053125,0.028170876966700842,0.050462787674566675,0.17298094153247287,
2010-09-10,20.75,20.93,19.76,20.17,385689.0,-0.02642032344137224,0.02491840287921754,1.1786549963416462,0.05446389834958787,0.17408599579350492,
2010-09-13,20.89,20.9,20.5,20.72,360703.0,0.026903065425161632,-0.06697644019670967,-1.0732944806838218,0.05699009614375276,0.17486589594094534,
2010-09-14,20.54,21.6,20.53,21.12,654629.0,0.01912104144677862,0.5960137579135321,0.9839493803479737,0.05783390321863402,0.16918245102894836,
2010-09-15,20.98,22.0,20.79,21.98,684558.0,0.03991249013741438,0.04470471157134881,0.12296171113483535,0.05838055906884069,0.1669854410721748,
2010-09-16,22.15,23.16,20.84,20.94,2685480.0,-0.048471743533084144,1.3668413873942011,0.6509468260695683,0.0646566078526832,0.17103061614183213,
2010-09-17,21.02,21.32,19.8,20.23,1174860.0,-0.034494554262737065,-0.8267104913717738,-0.422856850820034,0.06559639851719141,0.170074536902567,
2010-09-20,20.67,21.35,20.16,21.05,947475.0,0.039733908948736296,-0.2151037191590799,-0.24475702773474567,0.07259258704706652,0.1687451054814489,
2010-09-21,20.89,21.55,20.67,20.77,796000.0,-0.013390922240369196,-0.1742013655398278,-0.3017866786333251,0.07090998025634432,0.16947681516203847,
2010-09-22,20.87,20.95,19.8,19.87,962816.0,-0.04429858132429576,0.19026313812337925,0.2675953138850435,0.0762607756050842,0.1729247282946902,
2010-09-23,19.89,20.14,19.5,19.56,668076.0,-0.015724391957053996,-0.36546038444762097,-0.5860490450035761,0.07659834283479448,0.161478331552125,
2010-09-24,19.95,20.19,19.65,20.1,573187.0,0.027233150458358946,-0.1531899235162637,-0.1698990367953933,0.07792424098919093,0.16189452682205335,
2010-09-27,20.4,20.81,20.05,20.53,418597.0,0.021167415965812175,-0.31430337276395726,0.34174929372204904,0.07690883478820311,0.15865487348649115,
2010-09-28,21.04,21.49,20.76,21.4,1214465.0,0.04150369099696327,1.0651502863432434,-0.040273899137941604,0.08163273591490633,0.1617908788013088,
2010-09-29,21.19,22.03,21.13,21.98,1969457.0,0.026742026947669473,0.48345421963692914,0.20935022918188056,0.07865007479575108,0.16265106940151025,
2010-09-30,22.0,22.15,20.19,20.41,2196625.0,-0.07410797215372167,0.1091642212949182,0.7783049889002484,0.08885463056616619,0.17926041264864104,
2010-10-01,20.69,20.75,20.31,20.6,522518.0,0.009266098973781833,-1.4360179375086588,-1.4939250253122518,0.08544042802158207,0.17936623745593036,
2010-10-04,20.43,21.17,20.3,20.99,643599.0,0.01875505803700639,0.20841642835056895,0.6817184847363208,0.08146275057541776,0.17956548964916394,
2010-10-05,21.15,21.28,21.01,21.12,331936.0,0.006174325005519066,-0.6621336821075037,-1.1700712526502572,0.08088681608153488,0.17221194836510575,
2010-10-06,21.06,21.26,20.32,20.46,313357.0,-0.03174869831458027,-0.057599063590975774,1.2474579162656776,0.07733311939568059,0.16830129918442793,
2010-10-07,20.57,20.64,20.34,20.43,140920.0,-0.0014673516939498477,-0.7991507621854055,-1.1420974006078475,0.07606969221200297,0.16467091070536188,
2010-10-08,20.43,20.79,20.39,20.43,266219.0,0.0,0.6361269248469927,0.287682072451775,0.0739259864652233,0.1644432944893817,
2010-10-11,20.44,20.7,20.07,20.24,171194.0,-0.009343564410265959,-0.44152186195550946,0.4542552722775984,0.07258181262764347,0.16474088542902945,
2010-10-12,20.2,20.28,20.03,20.24,243912.0,0.0,0.35401008813905577,-0.9242589015233302,0.06441925880929993,0.16454987883754543,
2010-10-13,20.64,20.85,20.36,20.54,319200.0,0.014713360081147542,0.26901036107207865,0.6729444732424299,0.06156532212627025,0.16373468246695458,
2010-10-14,21.0,21.03,20.4,20.75,294620.0,0.010172042176295193,-0.08013147518886221,0.25131442828090605,0.032195828009073925,0.15672497989389744,
2010-10-15,20.89,20.9,20.25,20.54,283045.0,-0.010172042176295193,-0.0400804947836928,0.031252543504098174,0.03257370009287453,0.15414863061951076,
