date,open,high,low,close,volume,log_return,log_volume_chg,log_trading_range,vol_10,vol_30,garch_vol_10
2005-02-25,5.5129,5.6059,5.5129,5.5668,172610.0,0.0,0.0,0.0,0.0,0.0,
2005-02-28,5.4973,5.6675,5.4973,5.629,132426.0,0.01111142391832809,-0.2650107155523056,0.6043747229860201,0.0,0.0,
2005-03-01,5.6519,6.0311,5.6519,5.9923,220738.0,0.06254350523540508,0.5109524790243114,0.8010895542415909,0.0,0.0,
2005-03-02,6.0,6.0543,5.7219,5.8687,141921.0,-0.020842167480961793,-0.4417059131109351,-0.1317247073995741,0.0,0.0,
2005-03-03,5.8994,5.969,5.861,5.8763,38265.0,0.0012941679115796578,-1.310734924497785,-1.124207835857068,0.0,0.0,
2005-03-04,5.8456,6.085,5.7835,6.0311,132936.0,0.026002103181650416,1.2453321691370292,1.026638789043015,0.0,0.0,
2005-03-07,5.9768,6.0,5.8918,5.9304,92192.0,-0.016837750969189935,-0.36599445049679424,-1.024788649754858,0.0,0.0,
2005-03-08,5.8763,5.9073,5.7911,5.8146,152610.0,-0.01971966837395045,0.5040122886006646,0.07133147800542972,0.0,0.0,
2005-03-09,5.7527,5.7527,5.4746,5.4746,252359.0,-0.06025278231355369,0.5029670293988531,0.8726679168221085,0.0,0.0,
2005-03-10,5.4432,5.5051,5.397,5.4821,108918.0,0.0013690255590452782,-0.8402573713652863,-0.9449240365947629,0.0,0.0,
2005-03-11,5.544,5.5978,5.4509,5.4973,124578.0,0.002768823380284946,0.13433672021954202,0.30669535853467766,0.07243335573882527,0.0,
2005-03-14,5.4973,5.5051,5.3505,5.397,145280.0,-0.018413818975693053,0.15373088909709054,0.051089052973482874,0.07264108042979703,0.0,
2005-03-15,5.3584,5.4509,5.3274,5.4432,186420.0,0.008523879582899685,0.24933927778002918,-0.22459998008528625,0.05224164269915901,0.0,
2005-03-16,5.4202,5.4973,5.3892,5.4509,255745.0,0.001413609436711205,0.31617866166548225,-0.13318443142286585,0.05195298881243066,0.0,
2005-03-17,5.3892,5.5051,5.3892,5.4588,111129.0,0.0014482527257049238,-0.8334891656116845,0.06967102570053951,0.05196740207927115,0.0,
2005-03-18,5.5285,5.5285,5.4124,5.4432,110877.0,-0.002861862162416129,-0.0022702098882998456,0.0017241383581434455,0.04524269387090917,0.0,
2005-03-21,5.4124,5.5592,5.3816,5.4202,110699.0,-0.00423440807964881,-0.0016066725483874222,0.4250819418542211,0.04510163771071811,0.0,
2005-03-22,5.4124,5.5978,5.4124,5.4894,133315.0,0.012686244791650703,0.18589994273575883,0.042981822573687545,0.046616553141607814,0.0,
2005-03-23,5.4432,5.5592,5.3816,5.397,124995.0,-0.016975716294901577,-0.06444101248360035,-0.042981822573687545,0.022113563953618454,0.0,
2005-03-24,5.3816,5.4202,5.366,5.366,66167.0,-0.005760491633073572,-0.6360918872724586,-1.1868529221124564,0.022187175423451614,0.0,
2005-03-28,5.3816,5.3816,5.1883,5.1959,270051.0,-0.032212898953795754,1.4064289808201824,1.271562477768671,0.030221033699025172,0.0,
2005-03-29,5.2425,5.2808,5.1883,5.1959,113744.0,0.0,-0.864660520862877,-0.7370347416959018,0.028661285849625066,0.0,
