date,log_return,log_volume_chg,log_trading_range,vol_10,vol_30,garch_vol_10
1984-09-07,0.0,0.0,0.0,0.0,0.0,
1984-09-10,-0.006010287608311016,-0.2533925154052241,0.11214677534217987,0.0,0.0,
1984-09-11,0.01806342918963233,0.8578389457085258,0.0017376198985479263,0.0,0.0,
1984-09-12,-0.030385678903323,-0.1351495259141906,0.2896332925830407,0.0,0.0,
1984-09-13,0.05399639920310184,0.4430582257051796,-2.5105743965365557,0.0,0.0,
1984-09-14,0.014442071271086876,0.17453031295126564,2.5092740062362715,0.0,0.0,
1984-09-17,0.02552085697307982,-0.24745915141360442,-0.8776832891610598,0.0,0.0,
1984-09-18,-0.037121339135158804,-0.6835476504602731,1.166178303694843,0.0,0.0,
1984-09-19,-0.02052612513306107,0.08829573369961707,-0.3754472461736995,0.0,0.0,
1984-09-20,0.002984627922701155,-0.4739309825757836,-1.3052149032921072,0.0,0.0,
1984-09-21,-0.00891081219842682,0.411315026248662,1.7407416948863346,0.06206760468150762,0.0,
1984-09-24,-0.009037969222575604,-0.2340274102081672,-1.2231328465722329,0.06229963818153219,0.0,
1984-09-25,-0.021347709680747395,0.7472289945946748,0.18336105792705304,0.06250108901555416,0.0,
1984-09-26,-0.012257040394892171,-0.4074815643782941,1.1488444141544467,0.05932839881998596,0.0,
1984-09-27,0.0,-0.04648170884627589,-2.253971383843727,0.04079900994812469,0.0,
1984-09-28,-0.025373319030534414,0.7900131761125984,1.9514967557639302,0.039053600184022,0.0,
1984-10-01,-0.022582866416586134,-0.8701088268142705,-0.846369786074642,0.02740786992618179,0.0,
1984-10-02,0.006537051601793187,0.19011829087164145,0.604954468524479,0.025521921206955664,0.0,
1984-10-03,0.016045814814792947,0.01820833597345839,-0.7852002591345961,0.030579608092441205,0.0,
1984-10-04,0.012693231384455661,0.04117896514251029,-0.9054630932220933,0.03307871034577361,0.0,
1984-10-05,-0.022269639490594795,-0.25156936230830595,1.486835590341772,0.03493353385835252,0.0,
1984-10-08,0.0,-0.7310463009514123,-1.4984411364620707,0.03533203983654621,0.0,
1984-10-09,-0.009694437754639185,0.9808288713299902,0.9123920914584938,0.03359472348837347,0.0,
1984-10-10,-0.02973889781478345,1.0690916671418762,0.5877866649021195,0.03753626040845914,0.0,
1984-10-11,-0.006783251985491012,-0.6913069730360846,0.10536051565782145,0.037093327993980095,0.0,
1984-10-12,-0.04491833629104769,0.3745555991100602,0.5320059780309578,0.044064462938084685,0.0,
1984-10-15,0.0549715740556026,-0.08859094663319667,-1.733378000656844,0.062216287541732244,0.0,
1984-10-16,-0.0032699857790638998,-0.723245501114306,-0.41197978912934996,0.061826286430944496,0.0,
1984-10-17,0.039433335569422634,0.2830690514991936,0.007812539736801405,0.06781302944021261,0.0,
1984-10-18,0.028654259562932882,0.4560715564118567,0.003883500026380382,0.07048457444064458,0.0,
1984-10-19,0.0,0.27722805027558906,2.434564894927161,0.06818507598415725,0.13703576969386166,
1984-10-22,-0.0063846200723380875,-1.04446900345458,-1.1873544115465697,0.06848294436821287,0.13704978996040162,
1984-10-23,0.02188089829800599,0.4852824673907534,-0.8521350791215516,0.06906640016413969,0.1376578955463743,
1984-10-24,0.009188573015446733,-0.11000371622604987,0.2941882762745145,0.06331396645235976,0.13460749548103948,
1984-10-25,-0.03734636633528965,-0.0544322448058594,1.0940623945661354,0.07085978399767409,0.12765891320076436,
1984-10-26,-0.025687182223397054,-0.3200663909161712,-0.28616313975223395,0.06413490727357045,0.12834431927984377,
1984-10-29,0.0032250310459853715,-0.8187130531259932,-1.5049450757894975,0.05253318802212963,0.12489748319573075,
1984-10-30,0.01292225691953508,0.38716491418051646,0.4028575447010816,0.05271219159375357,0.12153101582339093,
1984-10-31,-0.006452850210881267,-0.21380287473717274,0.5134331871730735,0.04532990662888199,0.12027012537303733,
1984-11-01,0.006452850210881267,-0.24723256249166425,-0.5134331871730735,0.039929960973295965,0.12049201155485556,
1984-11-02,-0.006452850210881267,-0.5300565875356575,0.5103032941641432,0.039991291305093365,0.12038530122881577,
1984-11-05,-0.006469406708653813,1.336532897154477,0.5891789380125072,0.039995481103130164,0.12027024977633605,
1984-11-06,0.05980851751270133,0.7600545528023588,-1.486835590341772,0.057983640712920885,0.13374113644298716,
1984-11-07,-0.01838938366737397,0.027261847262195715,1.3698131349361038,0.059067523810702766,0.13447082661966664,
1984-11-08,-0.04141913384532736,-0.9660730832483715,0.4888858169670618,0.060480970166439184,0.1407051806447566,
1984-11-09,-0.0602158875719645,1.2053193466604064,0.5684835131669979,0.07178705698255297,0.15080297939857573,
1984-11-12,0.03391142471291042,-0.954400288949909,-2.4466005509272635,0.07699665933347481,0.15359257368972154,
1984-11-13,-0.02362470126989502,0.11196461489097587,1.9509394974603174,0.07723189517209977,0.15508499507188597,
1984-11-14,0.010181983282689266,-0.19395453992314415,-1.5441680534380957,0.07810265488928214,0.15450203843959262,
1984-11-15,0.0,0.021451601076343252,0.0,0.07772671324933306,0.15378494477658894,
1984-11-16,-0.020468706725704666,0.4414428165210751,1.3889019245269703,0.07847376884413651,0.15355318478145571,
1984-11-19,-0.06037894678941169,0.3404216929762427,0.45953232937844124,0.08717410339846242,0.16415393949665333,
1984-11-20,0.03236346268618773,0.12212151628805401,-2.9366568387243754,0.07605498458479505,0.1680486948042803,
1984-11-21,0.0211255202072822,-0.38721034389517683,0.6814511407967423,0.08004783650370523,0.16732041580698034,
1984-11-23,0.02735867062164643,-0.26525118416461524,1.3911843464140823,0.08023062814630391,0.16959665398340804,
