date,open,high,low,close,volume,log_return,log_volume_chg,log_trading_range,vol_10,vol_30,garch_vol_10
2005-02-25,48.541,49.691,48.541,49.431,14094.0,0.0,0.0,0.0,0.0,0.0,
2005-02-28,48.875,49.747,48.875,49.747,18413.0,0.006372402535451016,0.26730776198025197,-0.2767277974483212,0.0,0.0,
2005-03-01,49.31,50.087,49.31,50.087,7847.0,0.0068113331030104085,-0.8529256437397468,-0.11534907354133073,0.0,0.0,
2005-03-02,49.469,50.005,49.469,49.633,4458.0,-0.009105558299286276,-0.5654310581816588,-0.3713061892968443,0.0,0.0,
2005-03-03,50.07,50.07,49.386,49.671,757.0,0.0007653267110043771,-1.7730922605083652,0.24382375655174232,0.0,0.0,
2005-03-04,49.31,50.096,49.31,50.096,2290.0,0.008519902790466105,1.1069438431108365,0.13899887480665243,0.0,0.0,
2005-03-07,50.096,50.332,49.243,49.933,16899.0,-0.003259057758745243,1.998702631014539,0.32605833050376,0.0,0.0,
2005-03-08,49.774,49.774,48.939,49.021,9277.0,-0.018433329096610773,-0.5997162299095518,-0.26558339808210274,0.0,0.0,
2005-03-09,49.812,49.812,48.955,49.404,4562.0,0.007782614847074321,-0.7097770948089384,0.02600619374692248,0.0,0.0,
2005-03-10,48.8,49.542,48.8,49.339,6874.0,-0.001316549211361373,0.40998505456544443,-0.14408867543039255,0.0,0.0,
2005-03-11,49.339,49.624,48.8,49.115,5779.0,-0.004550356237573716,-0.17351552109199986,0.10482128674209154,0.019327465285048796,0.0,
2005-03-14,49.868,49.887,48.946,48.983,10877.0,-0.0026911879888973367,0.6324198107760726,0.13277260967590432,0.018547031889840207,0.0,
2005-03-15,48.929,48.929,48.791,48.791,320.0,-0.003927429516950909,-3.526084751300079,-1.9196894544281398,0.01737565633599244,0.0,
2005-03-16,48.781,49.088,48.541,48.884,3520.0,0.0019042749547693028,2.3978952727983707,1.3771951172647463,0.016828605560124343,0.0,
2005-03-17,49.243,49.32,48.587,49.05,5589.0,0.003390041435618052,0.46233939067755614,0.29269689946465854,0.017126384012969377,0.0,
2005-03-18,49.153,49.17,47.9,48.279,30112.0,-0.015843502506904805,1.6841233831154074,0.549626477565992,0.01803900341443147,0.0,
2005-03-21,48.708,48.708,48.115,48.522,4528.0,0.005020619837272644,-1.894643422502087,-0.7615777804549201,0.01907059542796725,0.0,
2005-03-22,49.002,49.002,48.261,48.737,2827.0,0.004421191873571928,-0.47106426218942854,0.22280622629836705,0.015150874040510688,0.0,
2005-03-23,48.8,49.125,48.011,48.207,8195.0,-0.010934256487586058,1.0643081334843396,0.4077117951911404,0.0151912777116591,0.0,
2005-03-24,48.522,48.596,48.353,48.418,4537.0,0.00436740668333524,-0.5912582115139671,-1.522650977146699,0.01594064179163005,0.0,
2005-03-28,48.242,48.929,48.087,48.91,4562.0,0.010110229140204652,0.005495123180370598,1.2427185709017974,0.017836533775218173,0.0,
2005-03-29,48.39,49.105,48.39,48.946,3368.0,0.0007357750495442517,-0.30344202748211657,-0.16349747154832275,0.017758357705465484,0.0,
2005-03-30,49.217,49.217,48.344,48.344,4700.0,-0.012375530541552493,0.333243412335932,0.1996530131455969,0.019677425515716183,0.0,
2005-03-31,48.92,48.929,48.242,48.532,9414.0,0.0038812551303690768,0.6946354342629384,-0.2396012636172432,0.019883662955780337,0.0,
2005-04-01,48.289,49.031,48.087,48.178,6020.0,-0.00732088886492166,-0.44711068365822015,0.31779187392313973,0.020094189843454055,0.0,
2005-04-04,48.372,48.579,48.059,48.428,2115.0,0.005175673520788848,-1.0460324468224895,-0.596297354570017,0.01722071143369706,0.0,
2005-04-05,48.197,48.596,48.15,48.596,5207.0,0.0034630641470019263,0.9009490616825202,-0.15350985955541951,0.017017943630868802,0.0,
2005-04-06,48.242,48.541,48.059,48.141,4691.0,-0.009407018107163267,-0.10435809483444025,0.07762516203053937,0.01787823721899342,0.0,
2005-04-07,48.503,48.522,48.125,48.16,1520.0,0.00039459611523318117,-1.1269354444881357,-0.19400783336341232,0.01617574673254527,0.0,
2005-04-08,47.919,48.271,47.919,48.141,5040.0,-0.00039459611523318117,1.1986957472250923,-0.12030510508907843,0.015791407626611614,0.0,
2005-04-11,47.835,48.437,47.779,48.115,5907.0,-0.0005402260769682421,0.15873200624182005,0.6255737557272002,0.013403441086590263,0.04038866027165401,
