date,open,high,low,close,volume,log_return,log_volume_chg,log_trading_range,vol_10,vol_30,garch_vol_10
2005-03-28,3.42,3.49,3.42,3.49,6000.0,0.0028694424279529507,-0.8923395110516417,0.3364722366212205,0.05005293050998834,0.0,
2005-03-29,3.49,3.5,3.46,3.47,20050.0,-0.0057471422555679386,1.2064696845245244,-0.5596157879354258,0.04979000891601674,0.0,
2005-03-30,3.55,3.55,3.45,3.54,3916.0,0.019972133186915153,-1.6331584290843146,0.9162907318741502,0.05117485922573029,0.0,
2005-03-31,3.5,3.54,3.5,3.5,6386.0,-0.011363758650315026,0.48903736962432554,-0.9162907318741502,0.04847707879510113,0.0,
2005-04-01,3.48,3.54,3.45,3.49,13550.0,-0.002861232281032189,0.7522784530331208,0.8109302162163261,0.0483207883949321,0.0,
2005-04-04,3.51,3.51,3.5,3.5,500.0,0.002861232281032189,-3.299533727885656,-2.1972245773362395,0.03235195388150967,0.0,
2005-04-05,3.55,3.55,3.5,3.5,1364.0,0.0,1.0035687399812163,1.6094379124341187,0.027916407832298505,0.0,
2005-04-06,3.55,3.55,3.51,3.51,2050.0,0.002853068982406226,0.40741823372904573,-0.22314355131420527,0.02345271471315995,0.0,
2005-04-07,3.54,3.6,3.54,3.59,300.0,0.02253616502241318,-1.9218125974762525,0.40546510810816416,0.024381867212751696,0.0,
2005-04-08,3.5,3.58,3.5,3.57,2800.0,-0.005586606708639863,2.2335922215070942,0.2876820724517808,0.02435491872414793,0.0,
2005-04-11,3.51,3.51,3.48,3.48,2859.0,-0.025533302005164682,0.02085249615901663,-0.9808292530117333,0.03140929720367048,0.10436631041926327,
2005-04-12,3.42,3.51,3.42,3.51,2668.0,0.008583743691391366,-0.06914278528679763,1.0986122886681144,0.03165892031899335,0.1017477186669013,
2005-04-13,3.5,3.53,3.5,3.53,4500.0,0.005681833467431119,0.5227482687228973,-1.0986122886681144,0.02838084622011089,0.09818007415511716,
2005-04-14,3.59,3.59,3.47,3.53,4150.0,0.0,-0.08096906253366676,1.3862943611198943,0.02702088856586607,0.09813140474583212,
2005-04-15,3.5,3.53,3.5,3.5,6690.0,-0.008534902449837345,0.4775055398975301,-1.3862943611198943,0.027742414925610786,0.09733111340298276,
2005-04-18,3.48,3.52,3.46,3.5,2000.0,0.0,-1.2074666935801925,0.6931471805599525,0.027668542802643976,0.0936620497496361,
2005-04-19,3.57,3.58,3.48,3.52,1514.0,0.005698021114637575,-0.27839202554468834,0.5108256237659905,0.027960364502866725,0.09267207232905454,
2005-04-20,3.5,3.5,3.45,3.45,20110.0,-0.02008675856673725,2.586462048769304,-0.6931471805599494,0.03141181830218894,0.0881824261831624,
2005-04-21,3.5,3.55,3.45,3.54,16488.0,0.0257524961024147,-0.1985843601964028,0.693147180559945,0.03284164959736915,0.09153541797219236,
2005-04-22,3.59,3.59,3.45,3.52,14725.0,-0.005665737535677451,-0.11308611405050861,0.3364722366212145,0.032847297525756165,0.09027850013038226,
2005-04-25,3.59,3.59,3.41,3.53,20158.0,0.00283688133519977,0.3140545023950363,0.2513144282809068,0.026850849617752113,0.08953864523756176,
2005-04-26,3.43,3.5,3.43,3.45,11800.0,-0.02292363990193702,-0.5355017004610669,-0.9444616088408524,0.031092853021236273,0.09167597183324175,
2005-04-27,3.75,3.75,3.45,3.45,10000.0,0.0,-0.1655144384775724,1.455287232606844,0.030596598820837293,0.09028762153604702,
2005-04-28,3.41,3.52,3.41,3.49,15300.0,0.011527505171067487,0.4252677354043435,-1.0033021088637855,0.03212405519881578,0.08803092925566458,
2005-04-29,3.5,3.5,3.5,3.5,2837.0,0.002861232281032189,-1.6851056725716758,-inf,0.031674105611927864,0.08780755348526623,
2005-05-02,3.5,3.54,3.41,3.53,6046.0,0.008534902449837345,0.7566497405305528,inf,0.03224393347948851,0.07306614419504223,
2005-05-03,3.54,3.68,3.5,3.57,5866.0,0.011267724846342198,-0.030223925802006946,0.3254224004346298,0.032941808004019496,0.07027058204486869,
2005-05-04,3.58,3.58,3.4,3.48,6200.0,-0.025533302005164682,0.05537632149578542,0.0,0.03507264139775912,0.07209549337080766,
2005-05-05,3.54,3.54,3.4,3.43,5920.0,-0.014472032608534358,-0.04621284315513208,-0.2513144282809061,0.03044360007823735,0.0708319320390339,
2005-05-06,3.41,3.41,3.37,3.37,1460.0,-0.017647516813578124,-1.3999000131756683,-1.2527629684953678,0.03212472648510013,0.07269018473203044,
2005-05-09,3.3,3.35,3.3,3.35,2100.0,-0.005952398527295344,0.3635009090091321,0.22314355131421415,0.03162895086087216,0.07273082498699668,
2005-05-10,3.28,3.36,3.26,3.26,3850.0,-0.027233150458358946,0.6061358035703162,0.6931471805599405,0.03308144129457214,0.07711184817531852,
2005-05-11,3.26,3.39,3.25,3.28,5569.0,0.006116227017436193,0.3691423563078384,0.33647223662121317,0.03393496885597755,0.07420256016545616,
2005-05-12,3.35,3.37,3.26,3.26,2861.0,-0.006116227017436193,-0.6660442905395589,-0.24116205681688618,0.03133982307046919,0.0737413551467169,
2005-05-13,3.26,3.26,3.25,3.25,1500.0,-0.0030721990369699803,-0.6457061059598086,-2.397895272798395,0.030593767730065377,0.0737431170674447,
2005-05-16,3.25,3.34,3.25,3.25,3000.0,0.0,0.6931471805599445,2.1972245773362395,0.02865631251603138,0.07358829531897604,
2005-05-17,3.25,3.27,3.25,3.25,2849.0,0.0,-0.051644233152337904,-1.5040773967762715,0.025300795165224044,0.07358829531897604,
2005-05-18,3.16,3.31,3.16,3.25,4965.0,0.0,0.5554452419813654,2.0149030205422633,0.02254205331546598,0.07342992639856488,
2005-05-19,3.2,3.26,3.13,3.13,6013.0,-0.037621991789584364,0.1915104945602959,-0.14310084364067355,0.03118453721400122,0.07672477952728944,
2005-05-20,3.25,3.25,3.06,3.15,11300.0,0.006369448285479917,0.6308789336608633,0.3794896217049044,0.032158898858034454,0.07748875669544444,
2005-05-23,2.93,3.17,2.86,3.17,13622.0,0.00632913505164745,0.18688340710083118,0.48954822531870623,0.03347403533089692,0.07491023566671243,
2005-05-24,3.2,3.2,3.09,3.15,5075.0,-0.00632913505164745,-0.9873596078912765,-1.0360919316867732,0.028891906944585214,0.07398064040426505,
2005-05-25,3.18,3.23,3.14,3.16,2400.0,0.0031695747612789926,-0.7488577875739502,-0.20067069546215555,0.028422186127573166,0.07369643611336378,
2005-05-26,3.15,3.2,3.02,3.16,9058.0,0.0,1.3281796077801218,0.6931471805599478,0.028465575719067295,0.07369643611336378,
2005-05-27,3.0,3.18,3.0,3.06,5993.0,-0.03215711163453139,-0.4130562236579731,0.0,0.03509779466906203,0.07890449211674026,
2005-05-31,3.02,3.1,3.02,3.08,7901.0,0.006514681021193791,0.2763972122645484,-0.810930216216329,0.03600945313181259,0.07955325863443619,
2005-06-01,3.14,3.14,3.05,3.05,2888.0,-0.009788006366162838,-1.0064251127100174,0.11778303565638604,0.035862987251723134,0.0790534427015251,
2005-06-02,3.05,3.12,3.0,3.05,60783.0,0.0,3.046745923581545,0.28768207245177857,0.035862987251723134,0.07756727617333838,
